,text,tanggal,bahasa
33,"@convomf Pengen dipeluk juga, tapi lagi sakit. Self diagnose sih kayanya kena covid, padahal udah vaksin booster https://t.co/hLU0GS5whq",2022-02-12 08:46:37+00:00,in
34,"Vaksin Booster Bikin Manusia Jadi Mirip Zombie, Cek Faktanya https://t.co/GTvI0edv6l",2022-02-12 08:46:03+00:00,in
35,Finnallyyy udh dpt undangan vaksin booster ngepasin bgt di senpark adaaa. Alhamdulilah deket 🙏,2022-02-12 08:45:46+00:00,in
36,Kimia Farma sebut masyarakat bisa dapatkan vaksin booster Sinopharm https://t.co/wStYYuoQ66,2022-02-12 08:45:25+00:00,in
39,CEK FAKTA: Benarkah Vaksin Booster Sebabkan Manusia Bertingkah Layaknya Zombie ... https://t.co/FuQEIkZ7rx,2022-02-12 08:38:58+00:00,in
40,"Sebahagian melayu:
1. Vaksin menghabiskan duit
2. Booster menghabiskan duit
3. Kalau dah tertulis mati, mati jugak walau dah vaksin
4. Daripada beli vaksin, baik bagi duit, beras sekampit, kain pelikat/batik kat orang.",2022-02-12 08:38:20+00:00,in
41,"Info jadwal vaksin booster Tangerang Februari 2022
https://t.co/YovE7ii6bs",2022-02-12 08:36:32+00:00,in
42,@vindestwitt media partner vaksin booster di Spark. Sesuai gitu warna logo vindes sama kegiatannya https://t.co/YqgLPqLG5q,2022-02-12 08:33:56+00:00,in
44,"@collegemenfess LO TAU NGGAK, ADA YANG NAMANYA REINFEKSI. Orang tua gue vaksin udah dua kali, baru mau booster udah positif lagi padahal tahun lalu pernah kena. MAJU NGGAK LO KETUA HIMPUNAN.",2022-02-12 08:33:23+00:00,in
45,pls pgn buru-buru vaksin booster tapi vaksin kedua aja gk kedaftar di pedulilindungi 😡,2022-02-12 08:32:55+00:00,in
46,sumpa vaksin booster kipi nya bener2 deh😭,2022-02-12 08:32:32+00:00,in
47,gua takut ni booster isinya bukan vaksin,2022-02-12 08:31:45+00:00,in
48,"@501Awani Lg tinggi kes baru, lg rakyat x percaya nk amik vaksin n booster sbb x berkesan",2022-02-12 08:31:34+00:00,in
49,"Gunwoo T1419 Positif Covid-19, Ngaku Sudah Vaksin Booster

#CelebritiesDotID #InfoCelebTerkini 

https://t.co/R3HZaHO6JU",2022-02-12 08:30:00+00:00,in
53,"Vaksin booster tadi jam 10an, lanjut kondangan masih baik2 saja, lah nyampe rumah asa meriang kieu gusti",2022-02-12 08:29:10+00:00,in
54,"Vaksin Yukk!!!

Sabtu, 12 Februari 2022
Pukul 15.00 Wita - Selesai
Lokasi : Komplek Citraland Palu

Melayani : 
- Vaksin 1 , Vaksin 2 dan Booster (Pfizer)
- Vaksin 2 dan anak 6-11 Thn (Sinovac)

""Gerakan Literasi Digital Brimob Sulteng""
@humaspolsulteng
#brimobuntukindonesia https://t.co/uXPpRKWn8h",2022-02-12 08:27:54+00:00,in
56,CEK FAKTA: Benarkah Vaksin Booster Sebabkan Manusia Bertingkah Layaknya Zombie ... https://t.co/WF6pj4wv8r,2022-02-12 08:26:27+00:00,in
57,"Tadi tuh udah dateng buat vaksin booster, lah kok tiket vaksinnya belum muncul 🥲🥲
Pas agak siangan lah kok tiba” udah muncul tuh tiket, vaksinnya udah kelar 😭",2022-02-12 08:25:53+00:00,in
59,"Hai, hai, hai~ Kabar baik untuk seluruh Dosen dan Tenaga Kependidikan Universitas Hasanuddin. Untuk semakin meningkatkan imun tubuh dan juga biar kita bisa segera melakukan pembelajaran tatap muka secara full, yuk kita vaksin booster pak, bu! (1) https://t.co/j1zZB29a95",2022-02-12 08:23:33+00:00,in
60,"Efek vaksin booster ini lebih parah dri vaksin yg pertama sm yg kedua :""))",2022-02-12 08:22:05+00:00,in
61,"baru bangun beberapa menit yg lalu, tangan sebelah kiri kemeng 🥲 efek booster kek vaksin 1 demii",2022-02-12 08:21:56+00:00,in
63,RT @panncafe: MLD membagikan bahwa #T1419 #Gunwoo dinyatakan positif COVID-19 setelah merasakan demam. Dia sudah mengambil vaksin booster…,2022-02-12 08:19:37+00:00,in
64,"Ada yang tau dimana booster vaksin tanpa sertif vaksin atau tiket dari peduli lindungi?

Help ya guys. Cuma ada bukti vaksin aja yg tertulis karena vaksin ke dua ku ga di anggep ada di sistem 😭 aku butuh booster udah lebih dari 7 bulan sejak vaksin kedua....",2022-02-12 08:17:36+00:00,in
65,"Vaksin booster nyuntiknya ga nyampe semenit, verifikasi dll nya lama bgt, ini dah &gt; 1 jam",2022-02-12 08:17:20+00:00,in
66,"gab gua tau ini agak telat tp gppa. karena w perlu ke balam dlu, tdinya mau sekalian vaksin booster tp palah gjdi:') yaudah kita jajan saja🙇🏻‍♀️ support @gabseknath BA esteh:D

#semuaakanESTEHpadawaktunya https://t.co/qolQCwaDmR",2022-02-12 08:17:15+00:00,in
68,"https://t.co/YkAndoRjXB,

https://t.co/xQ7xGvaqTp https://t.co/jPFryU71nw",2022-02-12 08:15:59+00:00,und
69,Masyarakat Sudah Bisa Mendapat Vaksin Booster Sinopharm https://t.co/rK3AmRSWnf,2022-02-12 08:14:30+00:00,in
70,"@Kita_AMLTF Selamat berakhir pekan Minteng, AMLMin,
Hancur negeri ini karena TPPU, apa apa dikorupsi, dikit-dikit korupsi, korupsi dikit dikit akhirnya banyak juga.
Bersyukur hari ini berkesempatan vaksin booster, wujudkan program Indonesia Sehat, Indonesia maju tanpa TPPU. https://t.co/HLbpKl2uSs",2022-02-12 08:14:09+00:00,in
71,@F2aldi @jawafess Ga perlu vaksin booster karena abang udah jadi mood booster ku 🤣🤣,2022-02-12 08:14:00+00:00,in
72,"vaksin dosis 1 dan 2 dapet sinovac ga ada gejala apa2, lantas booster dapet astrazeneca trnyata meriang :(",2022-02-12 08:14:00+00:00,in
73,Kimia Farma: Vaksin Sinopharm Untuk Booster Tersedia untuk Umum https://t.co/LLDONvkiUw https://t.co/1HfcrmHLI6,2022-02-12 08:13:33+00:00,in
75,ya tuhan beneran vaksin booster bikin tumbang,2022-02-12 08:12:20+00:00,in
76,"D'mall ngadain vaksin booster gak yahh. Apa gue dtg lgsg aja kali ya kesana besok

RS Puri, RS Prikasih semuanya full kuota🥲",2022-02-12 08:11:59+00:00,in
79,"RT @NayoanAngelyca: Ceritanya ini gmana sih? Ramai org protes di Ibukota..

#CabutMandatory 
#CabutDaruratPandemi 
#HentikanPaksaVaksinAnak…",2022-02-12 08:10:32+00:00,in
80,"@StopPlandemit bukan ""Faksin"", tp ""Vaksin"". ""Vaksin terbukti membawa lumpuh?"", kl benar 116 jt penerima vaksin di Indo lumpuh. Faktanya TIDAK. Gw dah smp booster efek sampingnya cmn agak laperan, bsknya udah jalan lg. Kl berujung kematian, tdr pun suatu saat akan mati, namanya mahluk hidup.",2022-02-12 08:10:31+00:00,in
81,"Booster uptake hambar, komen dakyah2 entibeksin dekat setiap page fb bertambah. Nak2 group kota tinggi tu 😂 hari2 duk post bahaya vaksin, gov control virus katanya https://t.co/ws7obbdeWT",2022-02-12 08:08:20+00:00,in
82,"Capaian vaksinasi di wilayah hukum Polda Aceh untuk dosis III atau booster baru 75.079 orang atau 1,86 persen. Jumlah tersebut tergolong masih sangat rendah jika dibandingkan dengan target vaksin sebanyak 4.028.891 orang.

@DivHumas_Polri

#bidhumaspoldaaceh https://t.co/BqgjwlBWle",2022-02-12 08:07:44+00:00,in
83,Kimia Farma sebut masyarakat bisa dapatkan vaksin booster Sinopharm https://t.co/KVy0Z91N1u #mandiri_itu_keren,2022-02-12 08:06:35+00:00,in
84,"jadi tanggal 11 feb 2022, ikut daftar vaksin booster dosis ke 3 https://t.co/sBg5c7GkFv",2022-02-12 08:06:04+00:00,in
86,"MLD membagikan bahwa #T1419 #Gunwoo dinyatakan positif COVID-19 setelah merasakan demam. Dia sudah mengambil vaksin booster

https://t.co/ua8jhlz39t
#AM https://t.co/x908HB7l0m",2022-02-12 08:05:18+00:00,in
87,Yuk vaksin https://t.co/V1JW9LRmlI,2022-02-12 08:05:04+00:00,tr
88,@my_sejahtera Saya dah ambil booster tp kenapa sijil vaksin saya utk booster ( pdf format ) masih tiada dlm app mysejahtera..tolong bantu,2022-02-12 08:04:17+00:00,in
90,Akhirnya urusan vaksin kelar juga sampe yg ke booster.... 😁👍👍 https://t.co/WHqWzs3Wh4,2022-02-12 08:02:31+00:00,in
91,"Yg sudah booster vaksin mana suaranyaaa....

Gue barusan ni dan langsung tepar",2022-02-12 08:01:32+00:00,in
93,https://t.co/OUSqAQO6f0,2022-02-12 08:00:39+00:00,und
94,Akhirnya urusan vaksin kelar juga sampe yg ke booster.... 😁😁👍 https://t.co/HgbQhNa3zH,2022-02-12 08:00:34+00:00,in
95,@WHOIndonesia min mau tanya setelah sembuh omicron berapa lama menunggu untuk vaksin booster?,2022-02-12 07:59:36+00:00,in
97,@KemenkesRI min mau tanya setelah sembuh omicron berapa lama menunggu untuk vaksin booster?,2022-02-12 07:57:44+00:00,in
98,"RT @e100ss: Masyarakat Sudah Bisa Mendapat Vaksin Booster Sinopharm
https://t.co/riBxeLneYW",2022-02-12 07:56:17+00:00,in
100,RT @efaperfume: Ada ibu mengandung yang was was nak cucuk booster ke? Saja share I took mine masa 32 weeks. Mine AZ-AZ-Pfizer. Takda side e…,2022-02-12 07:55:11+00:00,in
101,"Siapa yg belum lagi vaksin/booster boleh ke Permai Polyclinic Jalan Pantai. Kamurang boleh vaksin di sini setiap hari dari jam 8 pagi hingga 5 petang ✌🏻💉 

#JomVaksin
#AyuhBooster",2022-02-12 07:54:24+00:00,in
102,"MUI: Vaksin Merah Putih Halal dan Aman, Bisa Jadi Booster #alonesia  https://t.co/wQSVw2Jkdw",2022-02-12 07:53:10+00:00,in
103,Vaksin ke 3(booster) sungguh WOW.. serasa diet mendadak opo2 ora doyan🥺,2022-02-12 07:52:53+00:00,in
104,@PKM_Pasundan min ini pake vaksin booster jenis apa ya? pfizer bukan?,2022-02-12 07:50:22+00:00,in
105,"LPKA TERNATE KEMENKUMHAM MALUT TERIMA VAKSIN COVID 19 DOSIS 3 BOOSTER.

Baca selanjutnya di...
https://t.co/uFn6GDquHA https://t.co/soLqFSJTa9",2022-02-12 07:49:53+00:00,in
106,"Kapolresta Tangerang didampingi Kabag Ops dan Kapolsek Cikupa meninjau pelaksanaan Vaksin tahap 3 booster kepada karyawan PT. KMK, Cikupa

https://t.co/G9U2YmqmDA",2022-02-12 07:47:49+00:00,in
107,"Ceritanya ini gmana sih? Ramai org protes di Ibukota..

#CabutMandatory 
#CabutDaruratPandemi 
#HentikanPaksaVaksinAnak 

Didaerah adem"" aja berlanjut trus, dari vaksin 1-2 kini ke Booster? https://t.co/jd5PDbiSDE",2022-02-12 07:45:22+00:00,in
108,Video – 250 Orang Tenaga Pelayan Publik dan juga Warga di Banjarbaru Terima Vaksin Booster https://t.co/KUmCkvXMWK #Video # #250 #250Orang #banjarbaru,2022-02-12 07:44:07+00:00,in
109,@bekasicyberpark Ada vaksin booster juga ga?,2022-02-12 07:43:59+00:00,in
110,Aku punye MySJ ni takde update suruh booster pun. Adakah ini diskriminasi kepada warga pfizer (dibaca: vaksin babi) supaya cepat mampos???,2022-02-12 07:43:45+00:00,in
111,"@moccachoo Aku vaksin pertama keduanya biasa aja,  ini booster sakit + demam bgt semaleman 😭",2022-02-12 07:43:00+00:00,in
112,teruk noh booster. dulu vaksin 2 kali okay ja. ni booster rasa mau mati. lemau badan. dala kerja 🥵,2022-02-12 07:39:55+00:00,in
113,RT @rspuricinere: Mendukung program pemerintah dalam percepatan Vaksinasi Booster bagi seluruh masyarakat Indonesia. Salah satunya melalui…,2022-02-12 07:39:19+00:00,in
114,"Lonjakan Pandemi Omicron ""Mengerikan"", Ayo segera mulai tgl. 12 Januari 2022 dari anak 6 s/d 11 thn dilakukan suntik Vaksin Pandemi Covid-19, Melaksanakan Pesan Pres @jokowi Diadakan suntik ke 3 Vaksin booster secara gratis untuk seluruh masyarakat. #KesehatanPulihEkonomBangkit https://t.co/JgZJaZRZdM https://t.co/Y2rYQJX76U",2022-02-12 07:38:35+00:00,in
115,"1. Kakanwil Kemenkumham Sulsel Harun Sulianto Apresiasi Pegawai Lapas Perempuan Sungguminasa menerima Vaksin Booster (Vaksin Dosis Ke-3), Jumat (11/02).
@Kemenkumham_RI
@Kumham_Sulsel
#KumhamPasti
#KumhamSulsel",2022-02-12 07:38:11+00:00,in
116,"Budak ofis atas ni dah fully vaksin, dah booster, positif covid, symptom teruk mcm tak vaksin langsung... Ahahahhahaha apa lanca*....",2022-02-12 07:38:09+00:00,in
117,Udh vaksin booster nih! https://t.co/eH5LF4BPzj,2022-02-12 07:36:13+00:00,in
118,"RT @ashraffyamen: pelik la antivaksin ni, vaksin/booster tak maw ambek, bila ada colleague yg positif covid, dia la beriya dulu nak bagi na…",2022-02-12 07:35:47+00:00,in
119,@KangAsepr di tempat saya juga begitu kang. Tapi saya tetap waspada. Ini sudah mulai vaksin booster. Tes rutin tetap dilakukan secara mandiri di kantor saya. Beberapa rekan kerja ada yg kena omicron. Tapi sudah tidak sepanik waktu delta,2022-02-12 07:33:40+00:00,in
120,Mau vaksin booster kok maju mundur yak 🤭 katanya efeknya bikin panas dingin ya 😳 https://t.co/e60gu1pgYD,2022-02-12 07:30:10+00:00,in
121,"Puji Tuhan,
Akhirnya dapet juga booster.
Yukz pada booster, jangan ikutin yg anti vaksin ya.
#VaksinBooster 
Utk Indonesia Sehat, utk kita sehat. https://t.co/JTZx15q4RX",2022-02-12 07:29:08+00:00,in
122,"@susansco @monsterhiphoop Ohhh I know..
Vaksin sebelum married yaa.
Kalo booster kan gratis.",2022-02-12 07:24:13+00:00,in
123,"Efek vaksin booster mantap syekali, apalagi buat emak2 yg punya toodler gabisa istirahat 🥲",2022-02-12 07:21:31+00:00,in
124,"Semalam waktu tunggu 15 mnt lepas vaksin.  Petugas tu adalah bg kata kata akhir termasuklah ucapan tahniah sebab ambik booster, benda ni untuk diri sendiri dan orang lain jugak. Macam sedih do hahahhaha",2022-02-12 07:18:54+00:00,in
125,"Banyak yg bilang… semua akan covid pada akhirnya. Gak lah… tetap usaha dgn vaksin booster, taat prosedur kesehatan, dll. So far bs bertahan. Tapi pas ibu dan kakak kena, ternyata lbh berasa dampaknya. Get well soon 🤲😔",2022-02-12 07:17:03+00:00,in
126,"Rencana mau vaksin booster, eh kena omicrot :)",2022-02-12 07:16:55+00:00,in
127,alias vaksin booster ceunah,2022-02-12 07:15:39+00:00,in
128,"aku pas mau vaksin booster degdegan banget karna asumsi orang orang, pas udah vaksin dalam hati ""apaan si nggak sakit lebay banget"" dan pulang masih oke sampai tidur siang 2 jam. Bangun bangun woooow anget juga ini badan.",2022-02-12 07:13:35+00:00,in
129,"Memang harusnya vaksin booster tu bareng temen, soalnya nunggunya bosen bgt gaada tmn ngobrol😖",2022-02-12 07:12:31+00:00,in
130,RT @AryaFatmaNagara: Yg udah Vaksin + booster klu liat beginian bilang hoax gak ye 🤔,2022-02-12 07:12:07+00:00,in
131,Akhirnyaaa Vaksin Booster gunain Pfizer dong. Semoga sehat semua tweeps 😊,2022-02-12 07:09:55+00:00,in
132,RT @CNNIndonesia: Gelombang ketiga Covid-19 tengah memasuki Indonesia. Masyarakat pun diimbau untuk segera melakukan vaksinasi booster. Yuk…,2022-02-12 07:08:33+00:00,in
133,"i prepared for its side effects, but vaksin booster selain bikin pegel ternyata pusing dan mualnya awet banget",2022-02-12 07:06:59+00:00,in
134,"vaksin booster ternyata gak seserem yg diomongin orang2, wkwk",2022-02-12 07:05:10+00:00,in
135,@aldesosor Jd pengen sate taichan...pas bgt ada fillet paha ayam di freezer...tp apa dayaaaa badan msh remuk redam krn vaksin booster...😑,2022-02-12 07:01:35+00:00,in
136,"Percepat Program Vaksinasi Booster, Polsek Kep Seribu Selatan Gelar Suntik Vaksin di 3 Pulau Pemukiman https://t.co/DRWT5b57KW",2022-02-12 06:59:40+00:00,in
137,"lagi isoman hari ke-2. test antigen hari kamis kemarin, hasilnya positif. aku udah vaksin 1, 2, 3 (booster moderna), tapi emang tubuhku akhir-akhir ini lagi gak enak soalnya udah seminggu ganti puasa yg kebanyakan tanpa sahur.",2022-02-12 06:57:31+00:00,in
138,"Dok , booster- vaksin ke 3  itu efektif ga utk kondisi skrg ? https://t.co/FJxwwJa8Bd",2022-02-12 06:56:23+00:00,in
139,"Oke abis vaksin booster 55,10 kg wkwkw mantep juga turunnya",2022-02-12 06:54:30+00:00,in
141,"Limited Edition.. Dah few times buat covid test even pernah demam rasa nak pitam buat PCR but still negative. I do have weak body. Dua dos vaksin, satu booster semua ada side effect. Alhamdulillah takat ni belum pernah kena covid. https://t.co/LSVVV4OAyP",2022-02-12 06:53:16+00:00,in
142,"@yoonseea iiiii enaknyaaa, aku baru bisa vaksin booster bulan aprilll, which is itu bulan puasa 👎🏻",2022-02-12 06:53:06+00:00,in
143,Tiket vaksin booster nya udah nongol di app,2022-02-12 06:52:23+00:00,in
144,"Antisipasi Omicron, Lapas Kualasimpang Laksanakan Vaksin Booster Bagi Petugas dan Warga Binaan

#kumhampasti #wbkwbbm #diarykemenkumham
#kemenkumham
#kemenkumhamaceh
#lakusim @ditjenpas 
#vaksin
#kumhampastiproduktif https://t.co/topjSJw8S5",2022-02-12 06:51:30+00:00,in
146,Gemesh banget habis vaksin booster dapet freebies snack 🤩🤩🤩 https://t.co/fJRUbIv0sd,2022-02-12 06:44:46+00:00,de
147,kalian udah vaksin booster belom?,2022-02-12 06:44:03+00:00,in
148,Vaksin booster Sinopharm ini hadir untuk membantu mempercepat program vaksinasi yang telah dicanangkan oleh pemerintah. #Vaksin https://t.co/TSkHxpyqOa,2022-02-12 06:42:02+00:00,in
149,"3 jam setelah vaksin booster pfizer, blm berasa apa² cuma pegel aja bagian yg disuntik. 
Semoga kipi nya ringan sampe seterusnya hehe",2022-02-12 06:41:45+00:00,in
150,"RT @jaemin_tea: Yang hbs vaksin covid-19 punya efek biduran setiap hari kaya aku, bisa pake vaseline repairing jelly dibentol krn itu ngura…",2022-02-12 06:39:54+00:00,in
152,Vaksin booster di GM sby pesen pake halodoc cepet banget 🥰 trs yg jaga juga gercep². Antrinya sekitar 15 menitan doang tp gerceppp bgt,2022-02-12 06:39:19+00:00,in
153,"Yang hbs vaksin covid-19 punya efek biduran setiap hari kaya aku, bisa pake vaseline repairing jelly dibentol krn itu ngurangin rasa gatel banget + panas. 

Walaupun bakal timbul lg bidurannya 🤧 semangat. Dn skrng bingung booster atau tdk T___T",2022-02-12 06:38:26+00:00,in
154,"Info Jadwal vaksin Booster atau dosis 3 di BSD City, Tangerang bulan Februari 2022
#Vaksin #covid #infojadwalvaksin #TANGERANG 
https://t.co/Tw5zzDSkgO",2022-02-12 06:37:02+00:00,in
156,"RT @detikcom: Vaksin booster sudah digelar sejak Januari 2022 lalu, apa saja efek samping yang paling banyak dikeluhkan pengguna vaksin pri…",2022-02-12 06:34:13+00:00,in
157,"RT @_Banyoe: Virus varian Omicron ditemukan pada orang-orang yang diberi dosis ganda vaksin covid, reaksinya ada yang langsung &amp; tidak lang…",2022-02-12 06:33:20+00:00,in
158,"tbh, i'm not in good condition efek vaksin booster masih gaenak bgt badanku ditambah masalah buyer shopee thai alhamdulillah barusan selesai uda dicancel eh ada masalah baru lagi titip kirim shopee export berat ga sesuai saldo sampai MINUS &amp; ini pertama kalinya aku ngalamin ini.",2022-02-12 06:32:43+00:00,in
159,@__Sridiana_3va @Muchlis88426192 @SayutiAndy8 @StopPlandemit @aniesbaswedan @dr_koko28 Kenapa ya vaksin booster jarang sinovac? Apa ini untuk menyiram semua yg kebanyakan sudah vaksin sinovac?,2022-02-12 06:31:56+00:00,in
163,Vaksin booster yeayyy https://t.co/lcmiO1tEpy,2022-02-12 06:30:53+00:00,tr
164,"Kimia Farma: Masyarakat sudah bisa mendapatkan vaksin booster Sinopharm

https://t.co/esOg411e5M",2022-02-12 06:30:00+00:00,in
165,Mantep udah vaksin booster tinggal precon,2022-02-12 06:28:43+00:00,in
166,Mau meninggal tangan kiri habis di vaksin booster ni😭 sengal sekaliii for god sake,2022-02-12 06:28:03+00:00,in
167,vaksin booster Sudah tersedia untuk umum. yuk daftar di https://t.co/PnPFBp1jlL https://t.co/DART62blMs,2022-02-12 06:24:38+00:00,in
168,Bar vaksin booster njuk le ndobos banter,2022-02-12 06:24:38+00:00,in
170,"ni abis vaksin booster mimpi siang jadi aneh aneh begini, lebih ke ngeselin si mimpinya. mau gua nanjis najisin✌🙃",2022-02-12 06:22:39+00:00,in
172,@poowinki Iya vaksin booster,2022-02-12 06:21:46+00:00,tr
173,@meliodas1706 Ga buru2 sih emang karna ngikutin jadwal mama kan kebetulan guru2 udah waktunya vaksin booster. Jd ikut sekalian wkwk,2022-02-12 06:21:08+00:00,in
174,"RT @BennyKeef: Pengalaman saat disuntik booster kemarin, jarum udah masuk ke tangan kiri saya, lalu nakesnya baru tanya, ""Pa ini vaksin blm…",2022-02-12 06:21:06+00:00,in
175,lagi ngantri mau vaksin booster hehe,2022-02-12 06:20:50+00:00,in
177,"abis vaksin ketiga/booster, ini tangan berasa pegel 🥲
semoga ngga demam kayak vaksin kedua dulu hahah",2022-02-12 06:20:08+00:00,in
178,"Baru tau kalo 1/2 dosisnya pfizer itu 0.15ml
Kalo sinovac 1 dosisnya 0.5ml. Kalo misalnya vaksin pertama kedua &amp; booster pake sinovac jadi 1.5ml yg di tubuh",2022-02-12 06:19:54+00:00,in
179,"tanteku abis vaksin booster hari ini langsung demam, gejalanya mirip pas aku vaksin pertama dulu yang mana sakitnya parah banget.. jadi takut mau booster :((",2022-02-12 06:18:31+00:00,in
180,@bogorfess_ Info vaksin booster yang gratis dimana ya?,2022-02-12 06:17:24+00:00,in
181,"Jangan sampe lupa ambil vaksin booster...pertahanan imun gw jebol krn nunda2.

Gejala awal bersin2, trus drop...langsung demam tinggi.

#Isolationday3",2022-02-12 06:16:28+00:00,in
182,Lagi antri buat vaksin booster. Kok tiba-tiba grogi yaa 🙄,2022-02-12 06:15:57+00:00,in
